"","Country","Year","Birth_Skilled_Professional","Mortality_Ratio1","Gross_Income"
"24","Afghanistan","2013",45.2,NA,2000
"26","Albania","1990",NA,71,2840
"36","Albania","2000",NA,43,4370
"44","Albania","2008",99.3,NA,8920
"51","Algeria","1990",NA,216,6330
"61","Algeria","2000",NA,170,7460
"73","Algeria","2012",96.6,NA,12750
"76","Angola","1990",NA,1160,2190
"86","Angola","2000",NA,924,2190
"92","Angola","2006",46.7,NA,4260
"130","Armenia","1990",NA,58,2330
"140","Armenia","2000",NA,40,2380
"150","Armenia","2010",99.5,NA,6620
"155","Australia","1990",NA,8,16820
"165","Australia","2000",NA,9,25580
"178","Australia","2013",99.3,NA,42540
"180","Austria","1990",NA,8,19180
"190","Austria","2000",NA,5,28450
"216","Azerbaijan","2000",NA,48,3350
"227","Azerbaijan","2011",97.2,NA,14590
"231","Bahamas","1990",NA,46,17480
"241","Bahamas","2000",NA,61,20020
"256","Bahrain","1990",NA,26,19200
"266","Bahrain","2000",NA,21,34880
"281","Bangladesh","1990",NA,569,710
"291","Bangladesh","2000",NA,399,1140
"307","Barbados","1990",NA,58,8250
"317","Barbados","2000",NA,48,11320
"329","Barbados","2012",98.9,NA,15080
"332","Belarus","1990",NA,33,5230
"342","Belarus","2000",NA,26,5770
"354","Belarus","2012",100,NA,16800
"357","Belgium","1990",NA,9,18650
"367","Belgium","2000",NA,9,28310
"382","Belize","1990",NA,54,3280
"392","Belize","2000",NA,53,6160
"403","Belize","2011",95.1,NA,7940
"407","Benin","1990",NA,576,860
"417","Benin","2000",NA,572,1200
"433","Bhutan","1990",NA,945,1420
"443","Bhutan","2000",NA,423,2860
"455","Bhutan","2012",74.6,NA,6960
"458","Bolivia (Plurinational State of)","1990",NA,425,2300
"468","Bolivia (Plurinational State of)","2000",NA,334,3340
"480","Bolivia (Plurinational State of)","2012",85.1,NA,5400
"493","Bosnia and Herzegovina","2000",NA,17,4840
"509","Botswana","1990",NA,243,5070
"519","Botswana","2000",NA,311,7620
"532","Botswana","2013",99.9,NA,15500
"534","Brazil","1990",NA,104,6300
"544","Brazil","2000",NA,66,8500
"557","Brazil","2013",99.1,NA,14750
"559","Brunei Darussalam","1990",NA,35,49930
"569","Brunei Darussalam","2000",NA,31,59100
"584","Bulgaria","1990",NA,25,4970
"594","Bulgaria","2000",NA,21,6080
"610","Burkina Faso","1990",NA,727,540
"620","Burkina Faso","2000",NA,547,840
"630","Burkina Faso","2010",65.9,NA,1390
"635","Burundi","1990",NA,1220,670
"645","Burundi","2000",NA,954,580
"655","Burundi","2010",60.3,NA,710
"660","Cabo Verde","1990",NA,256,1050
"670","Cabo Verde","2000",NA,83,2910
"683","Cabo Verde","2013",92.3,NA,6220
"695","Cambodia","2000",NA,484,1050
"711","Cameroon","1990",NA,728,1640
"721","Cameroon","2000",NA,750,1710
"737","Canada","1990",NA,7,19150
"747","Canada","2000",NA,9,28240
"758","Canada","2011",98.4,NA,40570
"762","Central African Republic","1990",NA,1290,500
"772","Central African Republic","2000",NA,1200,550
"782","Central African Republic","2010",40,NA,880
"787","Chad","1990",NA,1450,710
"797","Chad","2000",NA,1370,730
"813","Chile","1990",NA,57,4140
"823","Chile","2000",NA,31,9320
"836","Chile","2013",99.8,NA,21030
"838","China","1990",NA,97,1010
"848","China","2000",NA,58,2830
"864","Colombia","1990",NA,118,4760
"874","Colombia","2000",NA,97,6520
"887","Colombia","2013",98.7,NA,11890
"889","Comoros","1990",NA,635,1170
"899","Comoros","2000",NA,499,1250
"911","Comoros","2012",82.2,NA,1520
"914","Congo","1990",NA,603,2830
"924","Congo","2000",NA,653,2590
"941","Costa Rica","1990",NA,43,4590
"951","Costa Rica","2000",NA,38,6990
"967","Cote d'Ivoire","1990",NA,745,1710
"977","Cote d'Ivoire","2000",NA,671,2160
"988","Cote d'Ivoire","2011",56.4,NA,2460
"1002","Croatia","2000",NA,11,10730
"1018","Cuba","1990",NA,58,8580
"1028","Cuba","2000",NA,43,8670
"1044","Cyprus","1990",NA,16,12500
"1054","Cyprus","2000",NA,15,18190
"1067","Cyprus","2013",99.9,NA,28830
"1079","Czech Republic","2000",NA,7,15320
